timestamp,timeIntervalSince1970,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,magneticField.x,magneticField.y,magneticField.z,magneticField.accuracy,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
"2019-04-16 05:13:38.758 +0000",1555391618.758435,0.189196,0.747139,-0.080769,0.137974,-0.679543,-0.720545,0.000000,0.000000,0.000000,-1,-0.747142,-2.009438,-0.416266,-0.084508,0.094857,-0.112249
"2019-04-16 05:13:38.781 +0000",1555391618.780712,0.160410,0.726355,-0.096076,0.119409,-0.664149,-0.738002,0.000000,0.000000,0.000000,-1,-0.987655,-1.607602,-0.810278,-0.120554,0.107035,-0.093480
"2019-04-16 05:13:38.804 +0000",1555391618.803509,0.137411,0.689704,-0.117578,0.105670,-0.636309,-0.764163,0.000000,0.000000,0.000000,-1,-1.890522,-1.708501,-1.036788,-0.329792,0.140337,-0.020230
"2019-04-16 05:13:38.826 +0000",1555391618.825816,0.115390,0.635499,-0.138663,0.092657,-0.593579,-0.799424,0.000000,0.000000,0.000000,-1,-2.464600,-1.421913,-0.983754,-0.339804,0.130048,0.032593
"2019-04-16 05:13:38.848 +0000",1555391618.848094,0.107194,0.590036,-0.151321,0.088899,-0.556391,-0.826151,0.000000,0.000000,0.000000,-1,-1.410294,0.177235,-0.476470,-0.297868,0.064845,0.045054
"2019-04-16 05:13:38.870 +0000",1555391618.870403,0.110883,0.573458,-0.159059,0.092954,-0.542540,-0.834871,0.000000,0.000000,0.000000,-1,-0.348925,-0.364282,-0.338471,-0.224866,0.032408,0.165987
"2019-04-16 05:13:38.893 +0000",1555391618.892708,0.102007,0.568486,-0.167610,0.085814,-0.538357,-0.838336,0.000000,0.000000,0.000000,-1,-0.151121,-0.665753,-0.381610,0.001085,0.080776,-0.225857
"2019-04-16 05:13:38.915 +0000",1555391618.915016,0.090751,0.565630,-0.180501,0.076511,-0.535948,-0.840777,0.000000,0.000000,0.000000,-1,-0.030362,-0.941942,-0.558985,-0.196705,0.108519,-0.224531
"2019-04-16 05:13:38.937 +0000",1555391618.937294,0.079430,0.562055,-0.192572,0.067140,-0.532926,-0.843494,0.000000,0.000000,0.000000,-1,-0.217342,-0.422122,-0.358991,-0.248613,0.181531,-0.053234
"2019-04-16 05:13:38.960 +0000",1555391618.959604,0.068146,0.555881,-0.199955,0.057841,-0.527692,-0.847464,0.000000,0.000000,0.000000,-1,-0.303002,-1.069146,-0.339638,-0.326197,0.140272,-0.127069
